ID,Compound Name,Primary Therapeutic Area,Primary Mechanism of Action,TASS Score,MANS Score,Disease similarity,Rationale for Scores
1,Abacavir,HIV/AIDS,Nucleoside Reverse Transcriptase Inhibitor (NRTI),0.1,10,0,"TA: Infectious disease, unrelated to metabolic disorders. A minimal score is given due to known metabolic side effects of some antiretrovirals. MoA: Inhibition of a viral enzyme is completely unrelated to human endocrine modulation."
2,Abciximab,Percutaneous Coronary Intervention (PCI),Glycoprotein IIb/IIIa Receptor Antagonist,3.5,9.8,6.3,"TA: Acute cardiovascular intervention, related to Wegovy's CV risk reduction but different patient setting (acute vs. chronic). MoA: Antiplatelet aggregation is unrelated to metabolic hormone signaling."
3,Abemaciclib,"Breast Cancer (HR+, HER2-)",Cyclin-Dependent Kinase (CDK) 4/6 Inhibitor,0,9,0,"TA: Oncology, no relation to metabolic disease. MoA: Inhibition of cell cycle kinases is mechanistically distinct, though kinase signaling can have distant metabolic links."
4,Abiraterone Acetate,Prostate Cancer,CYP17 Enzyme Inhibitor (Androgen Biosynthesis Inhibitor),0,9.9,0,"TA: Oncology, no relation to metabolic disease. MoA: Inhibition of steroid hormone synthesis is unrelated to incretin pathways."
5,Acamprosate,Alcohol Dependence,NMDA Receptor Modulator / GABA Agonist,1.1,9.6,0.5,"TA: Substance use disorder, unrelated. A minimal score is given as appetite/cravings can be a shared neurological concept. MoA: Modulation of CNS neurotransmitters for addiction is distinct from metabolic hormone signaling."
6,Acarbose,Type 2 Diabetes,Alpha-Glucosidase Inhibitor,7.2,8.2,9,"TA: T2DM is a key comorbidity. Primary goal is glycemic control, not weight loss. MoA: Peripheral inhibition of carbohydrate digestion is entirely different from systemic hormonal action."
7,Acebrophylline,"Asthma, COPD","Mucolytic, Bronchodilator (Phosphodiesterase Inhibitor)",0,9.8,0.8,"TA: Respiratory disease, unrelated. MoA: PDE inhibition for bronchodilation is unrelated to GLP-1 agonism."
8,Aceclofenac,"Pain, Inflammation (Arthritis)",Cyclooxygenase (COX) Inhibitor (NSAID),0.5,9.4,4.8,"TA: Pain/inflammation, unrelated. A minimal score is given as chronic inflammation is a feature of obesity. MoA: COX inhibition is distinct from GLP-1 agonism."
9,Acenocoumarol,Thromboembolism,Vitamin K Epoxide Reductase Inhibitor,3.2,9.9,6.5,"TA: Anticoagulation, related to CV risk but different therapeutic goal. MoA: Inhibition of clotting factor synthesis is unrelated to metabolic signaling."
10,Acetazolamide,"Glaucoma, Edema, Epilepsy",Carbonic Anhydrase Inhibitor,0.2,9.8,0.5,"TA: Unrelated conditions. A minimal score is given due to its diuretic effect, which can affect weight transiently. MoA: Enzyme inhibition affecting ion transport is unrelated to GLP-1 signaling."
11,Acetylcysteine,"Mucolytic, Paracetamol Overdose","Mucolytic, Glutathione Precursor",0,9.7,2,"TA: Respiratory conditions and toxicology, unrelated. MoA: Disulfide bond disruption and antioxidant action are unrelated to GLP-1 agonism."
12,Acitretin,Psoriasis,Systemic Retinoid (RAR/RXR Activator),0,9.5,4.2,"TA: Dermatology, unrelated. MoA: Nuclear receptor modulation affecting gene transcription for cell differentiation is unrelated to GLP-1 signaling."
13,Acotiamide,Functional Dyspepsia,Acetylcholinesterase Inhibitor,1.8,9.8,1.5,"TA: GI motility disorder. Wegovy also affects gastric emptying, creating a minor symptomatic link. MoA: Cholinergic modulation is distinct from incretin hormone agonism."
14,Acyclovir,Herpes Virus Infections,Viral DNA Polymerase Inhibitor,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral-specific enzyme is completely unrelated to human endocrine modulation."
15,Adalimumab,"Autoimmune Diseases (e.g., RA, Psoriasis)",TNF-alpha Inhibitor (Monoclonal Antibody),1.5,9.2,4,"TA: Autoimmune/inflammatory diseases. Link via ""metaflammation"" in obesity. MoA: Neutralizing an extracellular cytokine is profoundly different from activating a GPCR."
16,Adapalene,Acne Vulgaris,Retinoic Acid Receptor (RAR) Agonist,0,9.5,0,"TA: Dermatology, unrelated. MoA: Topical nuclear receptor modulation is unrelated to systemic GLP-1 signaling."
17,Adefovir,Hepatitis B,Nucleotide Reverse Transcriptase Inhibitor,0.1,10,0,"TA: Infectious disease, unrelated. Minimal score for link to liver health (Wegovy treats MASH). MoA: Inhibition of a viral enzyme is completely unrelated to human endocrine modulation."
18,Ademetionine,"Liver Disease, Depression",S-adenosylmethionine (SAMe) Supplement,5.1,9.7,2.2,"TA: Liver disease is a relevant comorbidity (MASH). MoA: Acts as a methyl donor and precursor to glutathione, unrelated to GLP-1 signaling."
19,Adenosine,Supraventricular Tachycardia,Adenosine Receptor Agonist,3.1,9.8,0.5,"TA: Acute cardiac arrhythmia treatment, a distant cardiovascular link. MoA: Purinergic receptor agonism is unrelated to GLP-1 signaling."
20,Adrenaline,"Anaphylaxis, Cardiac Arrest",Adrenergic Receptor Agonist,0.3,9.6,0,"TA: Emergency medicine, unrelated. MoA: Adrenergic agonism affects metabolism but through a completely different pathway than GLP-1."
