District,State/UT,Population Age 15+ (%),Population Age 45+ (%),Women Overweight or Obese (%) [BMI>=25.0],Men Overweight or Obese (%) [BMI>=25.0],Women Underweight (%) [BMI<18.5],Men Underweight (%) [BMI<18.5],Women Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Men Hypertensive (%) [SBP>=140 mmHg OR DBP>=90mmHg],Women High Glucose [BG>140mg/dl OR medicated],Men High Glucose [BG>140mg/dl OR medicated],Women Substantially Increased Risk of Metabolic Complications (%) [waist>88cm],Men Substantially Increased Risk of Metabolic Complications (%) [waist>102cm],TB Prevalence (%),Population in Highest Wealth Quintile (%),Households with Health Insurance / Financing Scheme Coverage (%)
Nicobars,Andaman & Nicobar Islands,75.28,19.42,38.1,45.3,9.4,4,35.4,47,17.5,17.9,30.7,6.4,0.221,18,2.7
North & Middle Andaman ,Andaman & Nicobar Islands,78.29,22.37,38.1,45.3,9.4,4,27.4,32.2,17.5,17.9,30.7,6.4,0.221,18,2.1
South Andaman ,Andaman & Nicobar Islands,82.88,27.18,38.1,45.3,9.4,4,23,26.9,17.5,17.9,30.7,6.4,0.221,18,1.2
Srikakulam ,Andhra Pradesh,78.28,29.98,36.3,31.1,14.8,16.5,22.1,22.9,19.5,21.8,28.4,5.7,0.239,15.6,75.6
Vizianagaram ,Andhra Pradesh,77.29,29.83,36.3,31.1,14.8,16.5,25.2,25.1,19.5,21.8,28.4,5.7,0.239,15.6,76.7
Visakhapatnam ,Andhra Pradesh,81.18,29.35,36.3,31.1,14.8,16.5,23.9,29.2,19.5,21.8,28.4,5.7,0.239,15.6,64.9
East Godavari ,Andhra Pradesh,78.34,31.25,36.3,31.1,14.8,16.5,29,32.2,19.5,21.8,28.4,5.7,0.239,15.6,66.4
West Godavari ,Andhra Pradesh,78.43,31.96,36.3,31.1,14.8,16.5,28.8,31.4,19.5,21.8,28.4,5.7,0.239,15.6,67.6
Krishna ,Andhra Pradesh,79.52,30.29,36.3,31.1,14.8,16.5,24,28.5,19.5,21.8,28.4,5.7,0.239,15.6,68.1
Guntur ,Andhra Pradesh,78.26,29.13,36.3,31.1,14.8,16.5,25.8,31.3,19.5,21.8,28.4,5.7,0.239,15.6,71.1
Prakasam ,Andhra Pradesh,76.54,29.1,36.3,31.1,14.8,16.5,27.8,33,19.5,21.8,28.4,5.7,0.239,15.6,67.6
