District,State/UT,SIDD_pct,SIRD_pct,CIRDD_pct,MOD_pct,MARD_pct,Priority_Score,GLP1_Focused_Priority_Score
Adilabad ,Telangana,24.495951840549562,31.508001146620117,9.542591804988287,2.3775905329445095,32.075864674897524,133.68235218406014,115.65736135380602
Agar Malwa ,Madhya Pradesh,24.554378624358247,28.0404539720444,8.956392528689875,4.0816225893077105,34.367152285599765,-76.06121191407064,-71.67599390937184
Agra ,Uttar Pradesh,24.194786963954492,28.30991070982153,8.843349213381499,4.318744836896593,34.33320827594589,-57.60025869445962,-50.830568908372044
Ahmadabad ,Gujarat,25.010896141295554,28.68004779229986,9.56737466686969,3.102014530385893,33.639666869149,28.889182239999716,16.46523168895667
Ahmadnagar ,Maharashtra,24.16498676319696,28.8177061849615,9.097466855094005,3.8286115989201956,34.09122859782734,-3.0185880730129027,-2.09809025856855
Aizawl ,Mizoram,23.93742692681508,28.910213856088333,8.733720517483512,4.214092588771572,34.204546110841505,32.429663660175116,31.567590832021537
Ajmer ,Rajasthan,23.426211324123194,27.599450464024095,8.114144505643141,4.8220265818510795,36.03816712435849,-99.37848878710359,-85.02986059065623
Akola ,Maharashtra,24.262485322408057,28.687308837263668,9.05486181760836,3.9992226557008976,33.996121367019015,-3.0185880730129027,-1.7197868256853606
Alappuzha ,Kerala,23.524071157496355,32.5530808040099,9.326205088358527,2.1474671004617107,32.44917584967351,262.7980262988441,235.93595803948335
Aligarh ,Uttar Pradesh,24.375101068891205,28.395607837381213,8.928329955619136,4.381256411674223,33.91970472643422,-57.60025869445962,-50.1414952480193
Alirajpur ,Madhya Pradesh,25.498621873938422,28.185770214175044,9.17050050955157,4.280580871949854,32.86452653038511,-76.06121191407064,-70.00840886253499
Allahabad ,Uttar Pradesh,24.42756475869408,28.27530128182522,8.862581249686421,4.5516995816778865,33.882853128116395,-57.60025869445962,-49.72247768442658
Almora ,Uttarakhand,23.647305631773886,29.383035007445176,8.913364975405965,3.8361554726580698,34.220138912716905,17.239357057136203,21.88136972557858
Alwar ,Rajasthan,23.861909558042214,27.88030709257552,8.42713296345229,5.189743110245327,34.640907275684654,-99.37848878710359,-81.89716296517489
Ambala ,Haryana,23.645867057264716,30.233747120831616,9.023141472396912,3.6879714517091395,33.40927289779762,48.40292450043924,55.20743976867241
Ambedkar Nagar ,Uttar Pradesh,24.417672066328446,28.390902740265442,8.932458386648301,4.41741679651035,33.84155001024746,-57.60025869445962,-49.9667404622019
Amethi ,Uttar Pradesh,24.33757274448508,28.391532616058008,8.919477130019185,4.356703738497993,33.99471377093973,-57.60025869445962,-50.29013476037388
Amravati ,Maharashtra,24.149961731202946,28.647036283903468,9.00963215309422,3.9433261264996053,34.25004370529976,-3.0185880730129027,-2.186005603088592
Amreli ,Gujarat,24.75615742488575,28.556262879367427,9.445650573641561,3.095146032641927,34.146783089463334,28.889182239999716,15.917848930799657
Amritsar ,Punjab,23.393631076798457,31.827213564795727,9.038033031588679,2.7803952804813616,32.960727046335776,88.66712472710418,92.64179906974543
Anand ,Gujarat,24.853655843939002,28.936948802955207,9.684044196387276,2.9316178466576535,33.59373331006086,28.889182239999716,16.609794871367907
Anantapur ,Andhra Pradesh,23.88764198648104,30.54607267948842,9.500768806485123,2.5443020523740145,33.521214475171405,119.77592170032891,100.67596545808027
Anantnag ,Jammu & Kashmir,23.425805540262214,28.763966726267,8.210771458421648,6.431650695962852,33.167805579086284,-40.8891157881805,-13.917191758367384
